setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A0095,GOLD,2025-01-23T10:00:00+00:00,2025-01-23T11:00:00+00:00,2025-01-23T16:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,2751.23,2756.0950000000003,2716.43,,7.16,,sl,2751.23,0.0,-1.0,-1.0,0.0,True,,3.217,-0.662,5,-1,-1,4,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-01-23T06:00:00+00:00,CHoCH,CHoCH,False,False,1.11,1.75,1.17,marginal,1.101,,2.018,3.958571,False,,,,,False,10,bullish,against_trend,2025-01-23T09:00:00+00:00,1,2025-01-23T09:00:00+00:00,SHORT,counter,45.9,False,0,no_fvg,Asia,London,False,False,Neither,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0096,GOLD,2025-01-29T09:00:00+00:00,2025-01-29T10:00:00+00:00,2025-01-29T10:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,2762.08,2758.625,2771.88,,2.84,,sl,2758.625,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,0,-1,-1,3,premium,1.0,True,5.9,4.0,1.44,0.0,0.5,0.0,"structure,sweep,freshness",False,h1_only,2025-01-29T06:00:00+00:00,CHoCH,CHoCH,False,True,4.64,1.5,1.0,marginal,0.957,,1.197,3.083571,False,,,,,False,9,bearish,against_trend,2025-01-29T08:00:00+00:00,1,2025-01-29T07:00:00+00:00,LONG,counter,86.9,False,0,no_fvg,Asia,London,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0097,GOLD,2025-01-30T07:00:00+00:00,,,London,bullish,BOS BOS,proximal,2763.45,2759.365,2771.88,,2.07,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-01-30T04:00:00+00:00,BOS,BOS,False,False,0.62,1.03,1.03,marginal,0.73,,3.625,4.907143,False,,,,,False,7,bullish,with_trend,2025-01-30T06:00:00+00:00,1,2025-01-30T06:00:00+00:00,LONG,counter,87.2,False,1,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0098,GOLD,2025-02-03T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,2778.26,2771.665,2798.32,,3.04,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,10,discount,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-03T03:00:00+00:00,BOS,BOS,True,False,0.53,1.02,1.02,marginal,0.684,0.196,1.66,8.9,False,,,,,False,13,bullish,with_trend,2025-02-03T12:00:00+00:00,1,2025-02-03T12:00:00+00:00,LONG,aligned,13.5,False,9,fresh,Asia,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0099,GOLD,2025-02-04T14:00:00+00:00,,,NY,bullish,BOS BOS,proximal,2819.98,2812.355,2837.13,,2.25,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,4,premium,0.0,,7.7,3.0,1.67,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-02-04T10:00:00+00:00,BOS,BOS,True,True,0.96,1.34,1.34,marginal,0.977,0.615,1.976,7.289286,False,,,,,False,14,bullish,with_trend,2025-02-04T13:00:00+00:00,1,2025-02-04T13:00:00+00:00,LONG,counter,73.6,False,13,fresh,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0100,GOLD,2025-02-05T06:00:00+00:00,2025-02-06T14:00:00+00:00,2025-02-06T15:00:00+00:00,Asia,bullish,BOS BOS,proximal,2842.74,2839.875,2860.62,,6.25,,sl,2839.875,-1.0,-1.0,-1.0,-250.0,True,,5.955,-0.558,1,-1,-1,7,premium,0.0,,7.7,3.0,1.67,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-02-04T23:00:00+00:00,BOS,BOS,True,True,0.84,1.01,1.01,marginal,0.382,0.125,5.7,6.170714,False,,,,,False,6,bullish,with_trend,2025-02-05T05:00:00+00:00,1,2025-02-05T02:00:00+00:00,LONG,counter,66.5,False,3,fresh,Other,NY,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0101,GOLD,2025-02-13T05:00:00+00:00,2025-02-14T15:00:00+00:00,2025-02-14T15:00:00+00:00,Asia,bullish,BOS BOS,proximal,2901.85,2893.025,2929.26,,3.11,,sl,2893.025,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,0,-1,-1,9,premium,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-12T19:00:00+00:00,BOS,BOS,True,False,1.02,1.08,1.08,marginal,1.161,0.985,3.54,7.168571,False,,,,,False,5,bullish,with_trend,2025-02-13T04:00:00+00:00,1,2025-02-13T03:00:00+00:00,LONG,counter,68.9,False,5,fresh,NY,NY,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0102,GOLD,2025-02-13T15:00:00+00:00,2025-02-14T17:00:00+00:00,2025-02-14T18:00:00+00:00,NY,bullish,BOS BOS,proximal,2885.92,2878.975,2908.61,,3.27,,friday_flat,2887.26,0.193,-1.0,-1.0,48.25,True,,1.641,-0.079,1,-1,-1,27,discount,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-12T11:00:00+00:00,BOS,BOS,True,False,0.94,1.13,1.13,marginal,0.898,0.177,1.687,7.168571,False,,,,,False,15,bullish,with_trend,2025-02-13T14:00:00+00:00,1,2025-02-12T16:00:00+00:00,LONG,aligned,40.2,False,4,fresh,London,NY,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0103,GOLD,2025-02-18T04:00:00+00:00,,,Asia,bullish,BOS BOS,proximal,2899.99,2891.475,2921.32,,2.51,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,0.0,,7.2,3.0,1.22,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-02-18T01:00:00+00:00,BOS,BOS,True,True,0.94,1.18,1.18,marginal,1.572,0.528,1.696,5.094286,False,,,,,False,4,bullish,with_trend,2025-02-18T03:00:00+00:00,1,2025-02-18T03:00:00+00:00,LONG,counter,67.9,False,1,fresh,Asia,Asia,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0104,GOLD,2025-02-18T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,2913.43,2906.4449999999997,2929.26,2933.9,2.27,2.93,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,5,premium,0.0,,5.2,3.0,1.22,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2025-02-18T10:00:00+00:00,BOS,BOS,False,True,0.5,1.38,1.38,marginal,0.979,,3.037,6.620714,False,,,,,False,15,bullish,with_trend,2025-02-18T14:00:00+00:00,1,2025-02-18T13:00:00+00:00,LONG,counter,58.4,False,1,no_fvg,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
