setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0096,NZDUSD,2025-05-21T15:00:00+00:00,2025-05-21T19:00:00+00:00,2025-05-22T01:00:00+00:00,NY,bullish,BOS BOS,50pct,0.59414,0.59292,0.59645,0.59705,2.817,3.549,sl,0.59292,-1.0,-1.0,-1.0,-250.0,True,,0.726,-1.297,6,-1,-1,4,premium,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-05-21T11:00:00+00:00,BOS,BOS,True,False,False,,,,,False,15,bullish,with_trend,2025-05-21T14:00:00+00:00,1,2025-05-21T14:00:00+00:00,LONG,counter,69.3,marginal,0.63,1.03,1.03,fresh,London,NY,True,False,OB only,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0097,NZDUSD,2025-05-28T06:00:00+00:00,2025-05-28T13:00:00+00:00,2025-05-29T13:00:00+00:00,Asia,bullish,BOS BOS,proximal,0.59503,0.59197,0.59916,,1.56,,tp1,0.59916,1.35,1.56,0.0,337.5,True,,1.385,-0.728,24,24,-1,5,discount,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-05-28T01:00:00+00:00,BOS,BOS,False,False,False,,,,,False,6,bullish,with_trend,2025-05-28T05:00:00+00:00,1,2025-05-28T05:00:00+00:00,LONG,aligned,20.6,marginal,0.75,1.07,1.07,fresh,Asia,NY,True,True,Both,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0098,NZDUSD,2025-05-28T06:00:00+00:00,2025-05-29T01:00:00+00:00,2025-05-29T13:00:00+00:00,Asia,bullish,BOS BOS,50pct,0.5939,0.59197,0.59916,,3.438,,tp1,0.59916,2.725,3.438,2.893,681.25,True,,2.782,-0.568,12,12,-1,5,discount,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-05-28T01:00:00+00:00,BOS,BOS,False,False,False,,,,,False,6,bullish,with_trend,2025-05-28T05:00:00+00:00,1,2025-05-28T05:00:00+00:00,LONG,aligned,-9.1,marginal,0.75,1.07,1.07,fresh,Asia,Asia,True,True,Both,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0099,NZDUSD,2025-06-02T08:00:00+00:00,2025-06-03T05:00:00+00:00,2025-06-04T14:00:00+00:00,London,bullish,BOS BOS,proximal,0.60038,0.59843,0.60299,,1.68,,tp1,0.60299,1.338,1.68,1.525,334.5,True,,1.581,-0.662,33,33,-1,5,premium,6.0,1.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-06-02T03:00:00+00:00,BOS,BOS,True,False,False,,,,,False,8,bullish,with_trend,2025-06-02T07:00:00+00:00,1,2025-06-02T07:00:00+00:00,LONG,counter,68.8,marginal,1.07,1.28,1.28,fresh,Asia,Asia,True,False,OB only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0100,NZDUSD,2025-06-02T08:00:00+00:00,2025-06-03T06:00:00+00:00,2025-06-03T15:00:00+00:00,London,bullish,BOS BOS,50pct,0.59981,0.59843,0.60299,,3.245,,sl,0.59981,0.0,3.245,2.727,0.0,True,,1.018,-0.522,9,32,-1,5,premium,6.0,1.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-06-02T03:00:00+00:00,BOS,BOS,True,False,False,,,,,False,8,bullish,with_trend,2025-06-02T07:00:00+00:00,1,2025-06-02T07:00:00+00:00,LONG,counter,61.5,marginal,1.07,1.28,1.28,fresh,Asia,Asia,True,False,OB only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0101,NZDUSD,2025-06-09T07:00:00+00:00,,,London,bullish,BOS BOS,proximal,0.60266,0.60085,0.60511,,1.73,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,7,discount,5.0,1.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-06-09T00:00:00+00:00,BOS,BOS,True,False,False,,,,,False,7,bullish,with_trend,2025-06-09T06:00:00+00:00,1,2025-06-09T06:00:00+00:00,LONG,aligned,23.3,marginal,0.68,1.31,1.31,fresh,Asia,London,True,False,never_filled,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0102,NZDUSD,2025-06-09T07:00:00+00:00,,,London,bullish,BOS BOS,50pct,0.60216,0.60085,0.60511,,3.242,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,7,discount,5.0,1.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-06-09T00:00:00+00:00,BOS,BOS,True,False,False,,,,,False,7,bullish,with_trend,2025-06-09T06:00:00+00:00,1,2025-06-09T06:00:00+00:00,LONG,aligned,16.3,marginal,0.68,1.31,1.31,fresh,Asia,London,True,False,never_filled,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0103,NZDUSD,2025-06-12T11:00:00+00:00,2025-06-13T00:00:00+00:00,2025-06-13T10:00:00+00:00,London,bullish,BOS BOS,proximal,0.60295,0.6000500000000001,0.60812,,2.07,,sl,0.6000500000000001,-1.0,-1.0,-1.0,-250.0,True,,1.237,-1.083,10,-1,-1,4,discount,5.0,1.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-06-12T07:00:00+00:00,BOS,BOS,True,False,False,,,,,False,11,bullish,with_trend,2025-06-12T10:00:00+00:00,1,2025-06-12T10:00:00+00:00,LONG,aligned,36.4,marginal,0.98,1.27,1.27,fresh,London,Asia,False,True,Fill only,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0104,NZDUSD,2025-06-12T11:00:00+00:00,2025-06-13T00:00:00+00:00,2025-06-13T03:00:00+00:00,London,bullish,BOS BOS,50pct,0.6019,0.6000500000000001,0.60812,,4.29,,sl,0.6019,0.0,-1.0,-1.0,0.0,True,,2.507,-0.663,3,-1,-1,4,discount,5.0,1.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-06-12T07:00:00+00:00,BOS,BOS,True,False,False,,,,,False,11,bullish,with_trend,2025-06-12T10:00:00+00:00,1,2025-06-12T10:00:00+00:00,LONG,aligned,18.2,marginal,0.98,1.27,1.27,fresh,London,Asia,False,True,Fill only,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0105,NZDUSD,2025-06-17T15:00:00+00:00,,,NY,bearish,BOS BOS,proximal,0.60635,0.60844,0.60339,,1.75,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,premium,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-06-17T13:00:00+00:00,BOS,BOS,False,False,False,,,,,False,15,bearish,with_trend,2025-06-17T14:00:00+00:00,1,2025-06-17T14:00:00+00:00,SHORT,aligned,76.2,solid,1.17,2.08,2.08,no_fvg,NY,NY,True,False,never_filled,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
