setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0011,USDJPY,2024-07-03T06:00:00+00:00,2024-07-03T13:00:00+00:00,2024-07-03T14:00:00+00:00,Asia,bullish,BOS BOS,proximal,161.656,161.57399999999998,161.809,,2.47,,sl,161.57399999999998,-1.0,-1.0,-1.0,-250.0,True,,2.134,-10.829,1,-1,-1,3,premium,7.0,3.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2024-07-03T03:00:00+00:00,BOS,BOS,True,False,False,,,,,False,6,bullish,with_trend,2024-07-03T05:00:00+00:00,1,2024-07-03T05:00:00+00:00,LONG,counter,91.0,fresh,Asia,NY,True,True,Both,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0012,USDJPY,2024-07-03T06:00:00+00:00,2024-07-03T13:00:00+00:00,2024-07-03T14:00:00+00:00,Asia,bullish,BOS BOS,50pct,161.635,161.57399999999998,161.809,,4.244,,sl,161.57399999999998,-1.0,-1.0,-1.0,-250.0,True,,3.213,-14.213,1,-1,-1,3,premium,7.0,3.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2024-07-03T03:00:00+00:00,BOS,BOS,True,False,False,,,,,False,6,bullish,with_trend,2024-07-03T05:00:00+00:00,1,2024-07-03T05:00:00+00:00,LONG,counter,89.7,fresh,Asia,NY,True,True,Both,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0013,USDJPY,2024-07-11T13:00:00+00:00,,,NY,bearish,CHoCH CHoCH,proximal,161.468,161.596,161.264,,1.89,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,4,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-07-11T09:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,13,bearish,with_trend,2024-07-11T12:00:00+00:00,1,2024-07-11T12:00:00+00:00,SHORT,aligned,79.9,no_fvg,London,NY,False,False,never_filled,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0014,USDJPY,2024-07-11T13:00:00+00:00,,,NY,bearish,CHoCH CHoCH,50pct,161.512,161.596,161.264,,3.875,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,4,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-07-11T09:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,13,bearish,with_trend,2024-07-11T12:00:00+00:00,1,2024-07-11T12:00:00+00:00,SHORT,aligned,82.5,no_fvg,London,NY,False,False,never_filled,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0015,USDJPY,2024-07-16T11:00:00+00:00,2024-07-17T05:00:00+00:00,2024-07-17T06:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,157.938,157.797,158.173,,1.94,,sl,157.797,-1.0,-1.0,-1.0,-250.0,True,,2.113,-1.688,1,-1,-1,17,discount,6.0,4.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-15T18:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,11,bullish,with_trend,2024-07-16T10:00:00+00:00,1,2024-07-16T00:00:00+00:00,LONG,aligned,-128.1,fresh,NY,Asia,False,False,Neither,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0016,USDJPY,2024-07-16T11:00:00+00:00,2024-07-17T05:00:00+00:00,2024-07-17T06:00:00+00:00,London,bullish,CHoCH CHoCH,50pct,157.888,157.797,158.173,,4.014,,sl,157.797,-1.0,-1.0,-1.0,-250.0,True,,3.824,-2.066,1,-1,-1,17,discount,6.0,4.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-15T18:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,11,bullish,with_trend,2024-07-16T10:00:00+00:00,1,2024-07-16T00:00:00+00:00,LONG,aligned,-131.1,fresh,NY,Asia,False,False,Neither,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0017,USDJPY,2024-07-22T07:00:00+00:00,,,London,bearish,BOS BOS,proximal,157.344,157.592,156.175,,5.13,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,discount,7.0,3.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2024-07-22T01:00:00+00:00,BOS,BOS,True,False,False,,,,,False,7,bearish,with_trend,2024-07-22T06:00:00+00:00,1,2024-07-22T05:00:00+00:00,SHORT,counter,-163.1,fresh,Asia,London,True,False,never_filled,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0018,USDJPY,2024-07-22T07:00:00+00:00,,,London,bearish,BOS BOS,50pct,157.448,157.592,156.175,,10.266,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,discount,7.0,3.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2024-07-22T01:00:00+00:00,BOS,BOS,True,False,False,,,,,False,7,bearish,with_trend,2024-07-22T06:00:00+00:00,1,2024-07-22T05:00:00+00:00,SHORT,counter,-157.0,fresh,Asia,London,True,False,never_filled,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0019,USDJPY,2024-07-26T09:00:00+00:00,2024-07-26T13:00:00+00:00,2024-07-26T14:00:00+00:00,London,bullish,BOS BOS,proximal,153.831,153.535,154.318,,1.76,,sl,153.535,-1.0,-1.0,-1.0,-250.0,True,,1.324,-2.51,1,-1,-1,5,discount,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-26T04:00:00+00:00,BOS,BOS,True,False,False,,,,,False,9,bullish,with_trend,2024-07-26T08:00:00+00:00,1,2024-07-26T08:00:00+00:00,LONG,aligned,-370.1,fresh,Asia,NY,False,True,Fill only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0020,USDJPY,2024-07-26T09:00:00+00:00,2024-07-26T13:00:00+00:00,2024-07-26T14:00:00+00:00,London,bullish,BOS BOS,50pct,153.703,153.535,154.318,,4.155,,sl,153.535,-1.0,-1.0,-1.0,-250.0,True,,3.095,-3.661,1,-1,-1,5,discount,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-26T04:00:00+00:00,BOS,BOS,True,False,False,,,,,False,9,bullish,with_trend,2024-07-26T08:00:00+00:00,1,2024-07-26T08:00:00+00:00,LONG,aligned,-377.7,fresh,Asia,NY,False,True,Fill only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
