feature,split,bucket,edge_lo,edge_hi,n,expR,ci_lo,ci_hi,ci_excludes_0,wr_pct,totR,pos_quarters,level
pd_zone,VALIDATION,,,,3058,-0.0793,-0.12,-0.038,True,35.0,-242.4,6/20,discount
pd_zone,VALIDATION,,,,3242,-0.0392,-0.081,0.002,False,36.6,-127.22,6/20,premium
pd_alignment,DISCOVERY,,,,5456,-0.0448,-0.079,-0.011,True,33.9,-244.26,9/36,aligned
pd_alignment,DISCOVERY,,,,5873,-0.0666,-0.098,-0.034,True,35.3,-390.87,10/36,counter
pd_alignment,VALIDATION,,,,3049,-0.0636,-0.106,-0.02,True,34.1,-193.9,3/20,aligned
pd_alignment,VALIDATION,,,,3251,-0.0541,-0.095,-0.013,True,37.4,-175.72,7/20,counter
session,DISCOVERY,,,,2047,-0.079,-0.134,-0.024,True,32.9,-161.69,9/36,Asia
session,DISCOVERY,,,,5091,-0.0669,-0.101,-0.032,True,33.9,-340.35,9/36,London
session,DISCOVERY,,,,4191,-0.0318,-0.069,0.006,False,36.4,-133.09,15/36,NY
session,VALIDATION,,,,1042,-0.0991,-0.169,-0.027,True,34.9,-103.27,6/20,Asia
session,VALIDATION,,,,2850,-0.0422,-0.087,0.003,False,35.9,-120.34,8/20,London
session,VALIDATION,,,,2408,-0.0606,-0.107,-0.014,True,36.2,-146.01,6/20,NY
ob_session,DISCOVERY,,,,4564,-0.0586,-0.096,-0.021,True,33.4,-267.39,11/36,Asia
ob_session,DISCOVERY,,,,4620,-0.0467,-0.081,-0.012,True,35.9,-215.58,14/36,London
ob_session,DISCOVERY,,,,1497,-0.0801,-0.139,-0.02,True,35.5,-119.94,10/34,NY
ob_session,DISCOVERY,,,,648,-0.0497,-0.154,0.058,False,32.4,-32.22,1/1,Other
ob_session,VALIDATION,,,,2301,-0.09,-0.141,-0.041,True,33.3,-207.19,4/20,Asia
ob_session,VALIDATION,,,,2666,-0.0549,-0.098,-0.011,True,36.9,-146.24,6/20,London
ob_session,VALIDATION,,,,920,-0.0165,-0.093,0.059,False,38.6,-15.22,9/20,NY
ob_session,VALIDATION,,,,413,-0.0023,-0.121,0.117,False,37.2,-0.97,0/1,Other
fill_session,DISCOVERY,,,,1782,0.0031,-0.056,0.063,False,36.4,5.55,18/36,Asia
fill_session,DISCOVERY,,,,4502,-0.0439,-0.081,-0.006,True,34.5,-197.64,11/36,London
fill_session,DISCOVERY,,,,4578,-0.0817,-0.116,-0.047,True,34.6,-374.23,8/36,NY
fill_session,DISCOVERY,,,,467,-0.1474,-0.253,-0.037,True,30.0,-68.82,0/0,Other
fill_session,VALIDATION,,,,740,-0.0328,-0.116,0.052,False,37.8,-24.25,8/18,Asia
fill_session,VALIDATION,,,,2285,-0.0463,-0.097,0.004,False,36.0,-105.71,8/20,London
fill_session,VALIDATION,,,,3010,-0.0821,-0.124,-0.041,True,34.9,-247.13,5/20,NY
fill_session,VALIDATION,,,,265,0.0282,-0.112,0.172,False,39.8,7.47,0/0,Other
killzone_alignment,DISCOVERY,,,,2626,-0.0563,-0.101,-0.011,True,36.3,-147.95,10/36,Both
killzone_alignment,DISCOVERY,,,,4047,-0.0849,-0.124,-0.046,True,32.9,-343.39,6/36,Fill only
killzone_alignment,DISCOVERY,,,,2580,-0.0239,-0.075,0.027,False,34.6,-61.79,16/36,Neither
killzone_alignment,DISCOVERY,,,,2076,-0.0395,-0.094,0.014,False,36.2,-82.01,17/36,OB only
killzone_alignment,VALIDATION,,,,1581,-0.0505,-0.109,0.008,False,36.5,-79.78,7/20,Both
killzone_alignment,VALIDATION,,,,2052,-0.0908,-0.142,-0.038,True,33.4,-186.4,4/20,Fill only
killzone_alignment,VALIDATION,,,,1372,-0.0139,-0.077,0.05,False,37.7,-19.12,8/20,Neither
killzone_alignment,VALIDATION,,,,1295,-0.0651,-0.128,-0.002,True,36.9,-84.32,7/20,OB only
ob_in_killzone,DISCOVERY,,,,6627,-0.0611,-0.092,-0.031,True,33.5,-405.18,8/36,False
ob_in_killzone,DISCOVERY,,,,4702,-0.0489,-0.084,-0.014,True,36.2,-229.96,14/36,True
ob_in_killzone,VALIDATION,,,,3424,-0.06,-0.1,-0.019,True,35.1,-205.52,6/20,False
ob_in_killzone,VALIDATION,,,,2876,-0.0571,-0.099,-0.014,True,36.7,-164.1,7/20,True
fill_in_killzone,DISCOVERY,,,,4656,-0.0309,-0.067,0.005,False,35.3,-143.8,13/36,False
fill_in_killzone,DISCOVERY,,,,6673,-0.0736,-0.103,-0.044,True,34.2,-491.34,8/36,True
fill_in_killzone,VALIDATION,,,,2667,-0.0388,-0.083,0.004,False,37.3,-103.44,8/20,False
fill_in_killzone,VALIDATION,,,,3633,-0.0733,-0.111,-0.034,True,34.7,-266.18,5/20,True
trend_alignment,DISCOVERY,,,,2645,-0.0827,-0.131,-0.035,True,32.6,-218.69,10/36,ambiguous
trend_alignment,DISCOVERY,,,,930,0.0171,-0.073,0.106,False,34.4,15.92,4/7,counter_trend
trend_alignment,DISCOVERY,,,,7754,-0.0558,-0.083,-0.029,True,35.4,-432.36,8/36,with_trend
trend_alignment,VALIDATION,,,,1370,-0.087,-0.151,-0.023,True,33.2,-119.2,5/20,ambiguous
trend_alignment,VALIDATION,,,,560,-0.0905,-0.19,0.012,False,31.6,-50.7,2/7,counter_trend
trend_alignment,VALIDATION,,,,4370,-0.0457,-0.081,-0.011,True,37.2,-199.73,8/20,with_trend
setup_badge,DISCOVERY,,,,471,-0.0438,-0.155,0.069,False,33.8,-20.64,0/0,A First Pullback
setup_badge,DISCOVERY,,,,438,-0.1289,-0.236,-0.019,True,35.4,-56.44,0/0,Caution: Late-Trend Chase
setup_badge,DISCOVERY,,,,10420,-0.0536,-0.077,-0.029,True,34.7,-558.06,11/36,other
setup_badge,VALIDATION,,,,234,0.017,-0.135,0.177,False,36.8,3.98,0/0,A First Pullback
setup_badge,VALIDATION,,,,244,-0.0416,-0.182,0.109,False,39.7,-10.15,0/0,Caution: Late-Trend Chase
setup_badge,VALIDATION,,,,5822,-0.0624,-0.093,-0.031,True,35.6,-363.45,5/20,other
ob_touches,DISCOVERY,,,,8710,-0.0633,-0.089,-0.037,True,34.3,-551.15,12/36,0
ob_touches,DISCOVERY,,,,2189,-0.0189,-0.072,0.034,False,36.7,-41.44,15/36,1
ob_touches,DISCOVERY,,,,430,-0.0989,-0.214,0.026,False,32.1,-42.55,0/0,2
ob_touches,VALIDATION,,,,4716,-0.0516,-0.086,-0.017,True,35.8,-243.28,6/20,0
ob_touches,VALIDATION,,,,1301,-0.0717,-0.134,-0.008,True,36.4,-93.29,5/20,1
ob_touches,VALIDATION,,,,283,-0.1168,-0.251,0.024,False,33.1,-33.05,0/0,2
bias,DISCOVERY,,,,5652,-0.0581,-0.091,-0.026,True,34.6,-328.23,8/36,LONG
bias,DISCOVERY,,,,5677,-0.0541,-0.087,-0.021,True,34.7,-306.91,12/36,SHORT
bias,VALIDATION,,,,3225,-0.0522,-0.093,-0.01,True,35.9,-168.42,7/20,LONG
bias,VALIDATION,,,,3075,-0.0654,-0.107,-0.024,True,35.7,-201.21,6/20,SHORT
pair,DISCOVERY,,,,1017,-0.0437,-0.121,0.034,False,35.1,-44.43,2/10,AUDUSD
pair,DISCOVERY,,,,1150,-0.0618,-0.135,0.01,False,33.9,-71.03,10/24,EURJPY
pair,DISCOVERY,,,,1433,-0.0722,-0.135,-0.007,True,34.2,-103.39,15/34,EURUSD
pair,DISCOVERY,,,,1450,-0.0697,-0.133,-0.005,True,33.3,-101.05,9/36,GBPUSD
pair,DISCOVERY,,,,1370,-0.0497,-0.119,0.019,False,32.6,-68.12,11/33,GOLD
pair,DISCOVERY,,,,990,-0.1,-0.166,-0.033,True,37.2,-98.96,4/15,NZDUSD
