setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,entry_raw,sl_raw,sl_initial,tp1,tp1_raw,tp2,tp2_raw,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,sl_dist_atr_at_alert,tp_dist_atr_at_alert,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_to_extreme_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_tier,sweep2_level,sweep2_pierce_atr,sweep2_rejection_ratio,sweep2_follow_atr,sweep2_pools_swept,sweep2_rn_aligned,sweep2_rn_dist_atr,sweep2_eq_size,sweep2_age_at_fill_h1,sweep2_tiers_checked,sweep2_sw_present,sweep2_sw_pierce_atr,sweep2_sw_rejection_ratio,sweep2_sw_follow_atr,sweep2_sw_rn_aligned,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B6534,EURUSD,2020-02-11T16:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.09426,1.09446,1.09555,1.09575,1.09357,1.09337,,,1.0,,1.09357,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,2.155,1.399,0.965,0,-1,-1,,,32,discount,0.0,,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2020-02-10T08:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,1.7,2.37,2.37,solid,,1.287,1.967,5.149,0.000691,,0.517,1,51.183,False,,,,,False,16,bearish,counter_trend,False,False,True,bullish,1.0909,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,,,True,-0.014,bare,False,,False,break,asia,low,True,2020-02-11T15:00:00+00:00,2,2020-02-10T13:00:00+00:00,SHORT,,counter,46.8,False,4,fresh,London,NY,True,False,never_filled,0.984,,,0.0053,1.10927,1.09418,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6535,EURUSD,2020-02-11T17:00:00+00:00,2020-02-12T05:00:00+00:00,2020-02-12T15:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.09117,1.09097,1.08892,1.08872,1.09426,1.09446,,,1.7,,1.09529,2.2,zone,,,1.095,2.06,,,,False,triple,sl,1.08872,-1.0,-1.0,-1.0,-250.0,True,,0.563,-0.51,-1.776,True,False,0.113,6.19,,False,2.528,2.321,3.394,10,-1,-1,16.0,15.0,4,discount,1.0,True,10.0,4.0,1.0,2.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2020-02-11T13:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,True,0,0.3,1.68,1.12,marginal,False,1.909,0.175,1.548,0.000969,0.000549,0.303,0,52.63,False,,,,,False,17,bearish,ambiguous,False,False,True,bullish,1.09247,False,False,False,INSIDE,intact,intact,intact,broken,1.341,2.115,PD,PD,True,,,14.041,2.0,,,True,,,14.0,low,2.0,0.0,True,PD,1.09076,0.206,2.269,1.578,3,True,0.784,,21.0,"pd,eq,sw",True,0.206,2.269,1.578,True,True,0.413,bare,False,,False,sweep,asia,low,True,2020-02-11T16:00:00+00:00,1,2020-02-11T14:00:00+00:00,LONG,,aligned,11.8,False,0,fresh,NY,Asia,True,False,OB only,0.613,A+ Reversal at the Wall,premium,-0.1995,1.10927,1.09418,discount,both_discount,0.629,0.572,0.375,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6536,EURUSD,2020-02-13T08:00:00+00:00,2020-02-13T11:00:00+00:00,2020-02-13T11:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.08721,1.08701,1.08632,1.08612,1.0875,1.0877,,,1.0,,1.0875,1.0,wick,,,,,,,,False,triple,sl,1.08612,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,,0.923,,,,1.934,1.579,0.869,0,-1,-1,7.0,4.0,4,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-02-13T04:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.47,1.27,0.85,marginal,False,0.869,,1.65,0.000564,0.000719,0.204,1,54.53,False,,,,,False,8,bearish,ambiguous,False,False,True,bullish,1.08794,False,False,False,INSIDE,intact,intact,intact,broken,9.475,1.242,PD,PD,False,,,9.475,2.0,1.242,2.0,False,-0.692,False,27.0,low,2.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,False,,,False,,False,break,london,low,True,2020-02-13T07:00:00+00:00,1,2020-02-13T07:00:00+00:00,LONG,,aligned,11.6,False,0,no_fvg,Asia,London,False,False,Neither,0.981,,,-0.4619,1.10927,1.09418,discount,both_discount,0.923,0.681,0.162,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6537,EURUSD,2020-02-14T04:00:00+00:00,2020-02-14T05:00:00+00:00,2020-02-14T07:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.08323,1.08343,1.08394,1.08414,1.08292,1.08272,,,1.39,,1.08292,1.39,wick,,,1.08292,1.39,,,,True,triple,sl,1.08414,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.725,,True,False,0.218,2.536,,True,1.166,0.909,0.653,2,-1,-1,3.0,2.0,2,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-02-14T02:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.42,0.85,0.85,marginal,,0.397,,0.448,0.000781,0.000551,0.226,0,53.828,False,,,,,False,4,bearish,with_trend,False,False,False,,1.08308,False,False,False,EXPANSION_DOWN,intact,broken,intact,broken,7.224,,PD,,False,3.0,PD,11.938,2.0,,,False,10.772,False,45.0,low,2.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,False,,,True,-0.256,False,sweep,asia,low,True,2020-02-14T03:00:00+00:00,1,2020-02-14T03:00:00+00:00,SHORT,,counter,5.2,False,2,no_fvg,Asia,Asia,False,False,Neither,,,,-0.7256,1.10927,1.09418,discount,both_discount,-0.423,0.601,0.473,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,German Prelim GDP q/q,EUR,1.0,German Prelim GDP q/q
B6538,EURUSD,2020-02-17T16:00:00+00:00,2020-02-17T16:00:00+00:00,2020-02-17T18:00:00+00:00,NY,bearish,BOS BOS,proximal,1.08329,1.08349,1.08432,1.08452,1.08311,1.08291,,,0.7,,1.08311,0.7,wick,,,1.08311,0.7,,,,True,triple,tp1,1.08311,0.146,0.7,0.0,36.5,True,,0.146,-0.569,1.0,,,,,,,1.84,1.541,0.568,2,2,-1,2.0,1.0,2,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2020-02-17T14:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.61,1.3,1.3,marginal,,0.942,,0.853,0.000669,0.000701,0.476,0,58.144,False,,,,,False,16,bearish,with_trend,False,False,False,,1.08292,False,False,False,INSIDE,intact,intact,intact,intact,4.233,0.853,PD,PW,True,,,13.85,2.0,,,False,12.011,False,2.0,low,2.0,0.0,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,,,False,,,True,-0.299,False,sweep,london,low,True,2020-02-17T15:00:00+00:00,1,2020-02-17T15:00:00+00:00,SHORT,,counter,17.4,False,1,no_fvg,NY,NY,True,True,Both,,,,0.0438,1.09574,1.08272,discount,both_discount,-1.002,0.444,0.554,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6539,EURUSD,2020-02-18T13:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.08274,1.08294,1.08392,1.08412,1.08216,1.08196,,,1.0,,1.08216,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.782,1.524,1.007,0,-1,-1,,,6,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2020-02-18T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.95,1.28,1.28,marginal,,1.007,,2.196,0.000774,,0.449,1,56.381,False,,,,,False,13,bearish,with_trend,False,False,False,,1.08124,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,False,,,False,,False,break,asia,low,True,2020-02-18T12:00:00+00:00,1,2020-02-18T12:00:00+00:00,SHORT,,counter,39.0,False,3,no_fvg,London,NY,True,False,never_filled,0.897,,,0.0015,1.09574,1.08272,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6540,EURUSD,2020-02-19T09:00:00+00:00,2020-02-19T11:00:00+00:00,2020-02-19T11:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.07995,1.07975,1.07921,1.07901,1.08055,1.08075,1.08302,1.08322,1.85,6.43,1.08238,5.24,zone,,zone,1.0822,4.91,1.08302,6.43,zone,False,triple,sl,1.07901,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,0.91,2.046,,True,1.527,1.202,1.299,0,-1,-1,6.0,3.0,4,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-02-19T05:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.02,0.29,0.2,marginal,False,0.552,,1.543,0.000616,0.000701,0.529,0,56.647,False,,,,,False,9,bearish,ambiguous,False,False,True,bullish,1.0807,False,False,False,INSIDE,intact,intact,intact,broken,6.123,2.323,PD,PD,False,25.0,PW,6.123,2.0,,,True,,,27.0,low,2.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,-0.081,bare,False,,False,break,asia,low,True,2020-02-19T08:00:00+00:00,1,2020-02-19T08:00:00+00:00,LONG,,aligned,21.8,False,0,no_fvg,Asia,London,False,False,Neither,1.0,,,-0.2127,1.09574,1.08272,discount,both_discount,0.244,0.276,0.239,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6541,EURUSD,2020-02-19T16:00:00+00:00,2020-02-19T16:00:00+00:00,2020-02-19T20:00:00+00:00,NY,bearish,BOS BOS,proximal,1.07886,1.07906,1.08057,1.08077,1.07775,1.07755,,,1.0,,1.07775,1.0,wick,,,,,,,,False,triple,sl,1.08077,-1.0,-1.0,-1.0,-250.0,True,,0.136,-0.639,-7.353,False,,0.266,,,,2.212,1.98,1.517,4,-1,-1,4.0,2.0,4,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2020-02-19T12:00:00+00:00,BOS,BOS,1,holding,False,none,False,1,0.5,0.73,0.73,marginal,,1.517,,0.984,0.000864,0.000916,0.71,0,60.143,False,,,,,False,16,bearish,with_trend,False,False,False,,1.07821,False,False,False,SWEPT_LOW,intact,swept,intact,broken,5.628,,PD,,False,0.0,PD,5.628,2.0,,,False,3.416,False,0.0,low,2.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,0.023,bare,False,,False,sweep,asia,low,True,2020-02-19T15:00:00+00:00,1,2020-02-19T14:00:00+00:00,SHORT,,counter,5.2,False,1,no_fvg,London,NY,True,True,Both,0.516,,,-0.2965,1.09574,1.08272,discount,both_discount,-1.112,0.592,0.301,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,1.0,FOMC Meeting Minutes
B6542,EURUSD,2020-02-20T15:00:00+00:00,2020-02-20T16:00:00+00:00,2020-02-21T08:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1.07992,1.07972,1.07837,1.07817,1.08055,1.08075,1.08302,1.08322,0.76,2.59,1.08238,2.12,zone,,zone,1.08204,1.87,1.08302,2.59,zone,False,triple,tp1,1.08055,0.36,0.76,0.0,90.0,True,,0.36,-0.937,1.0,,,,,,,1.551,1.373,0.735,16,16,-1,4.0,2.0,3,discount,0.0,,9.0,4.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2020-02-20T12:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.14,1.26,1.26,marginal,,1.019,0.567,2.118,0.001129,0.001264,0.713,0,50.339,False,,,,,False,15,bullish,with_trend,True,False,False,,1.08211,False,True,False,BOTH_SIDES,swept,swept,intact,broken,14.018,,PW,,True,0.0,PD,3.367,2.0,,,True,,,2.0,low,2.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,-0.372,bare,False,,False,sweep,london,high,True,2020-02-20T14:00:00+00:00,1,2020-02-20T14:00:00+00:00,LONG,,aligned,49.8,False,1,fresh,London,NY,True,True,Both,1.0,A First Pullback,premium,-0.2151,1.09574,1.08272,discount,both_discount,-1.241,0.782,0.036,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,1.0,French Flash Services PMI
B6543,EURUSD,2020-02-21T15:00:00+00:00,2020-02-24T07:00:00+00:00,2020-02-24T09:00:00+00:00,NY,bullish,BOS BOS,proximal,1.08082,1.08062,1.07943,1.07923,1.08352,1.08372,1.08492,1.08512,2.61,3.78,1.08489,3.76,zone,,zone,1.08452,3.45,1.08492,3.78,zone,False,triple,tp1,1.08352,1.698,2.61,3.78,424.5,True,,1.698,-0.0,1.0,,,,,,,1.287,1.125,2.347,2,2,7,67.0,17.0,3,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2020-02-21T12:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,1.23,2.01,2.01,solid,,0.801,,3.221,0.001236,0.000994,0.98,0,38.767,False,,,,,False,15,bullish,with_trend,True,False,False,,1.0846,False,True,False,INSIDE,intact,intact,intact,intact,4.467,2.055,PW,PD,False,,,9.492,2.0,2.055,2.0,False,0.769,True,1.0,high,1.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,False,,,False,,True,break,london,high,True,2020-02-21T14:00:00+00:00,1,2020-02-21T14:00:00+00:00,LONG,False,aligned,44.8,False,2,no_fvg,London,London,True,True,Both,1.0,,,-0.1459,1.09574,1.08272,discount,both_discount,0.477,0.391,0.852,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,German ifo Business Climate,EUR,1.0,German ifo Business Climate
B6544,EURUSD,2020-02-24T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.0824,1.0822,1.0811,1.0809,1.0835,1.0837,1.08735,1.08755,1.36,4.86,1.08614,3.76,zone,,zone,1.08577,3.43,1.08735,4.86,zone,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.203,1.042,1.042,0,-1,-1,,,2,discount,0.0,,7.0,3.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2020-02-24T13:00:00+00:00,BOS,BOS,0,holding,False,none,True,0,0.55,2.65,2.65,strong,,0.722,,2.462,0.001247,,0.411,0,54.676,False,,,,,False,15,bullish,with_trend,True,False,False,,1.08527,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,True,SW,1.08106,0.457,19.333,3.376,1,False,0.85,,,"pd,pw,eq,sw",True,0.457,19.333,3.376,False,True,-0.329,bare,False,,False,sweep,asia,high,True,2020-02-24T14:00:00+00:00,1,2020-02-24T14:00:00+00:00,LONG,,aligned,32.6,False,3,no_fvg,NY,NY,True,False,never_filled,,,,0.5413,1.08634,1.07775,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6545,EURUSD,2020-02-25T11:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.0824,1.0822,1.0811,1.0809,1.08561,1.08581,,,3.28,,1.08655,4.14,zone,,,1.08628,3.89,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.203,1.422,3.73,0,-1,-1,,,22,discount,0.0,,8.0,3.0,1.0,1.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2020-02-24T13:00:00+00:00,BOS,BOS,0,holding,True,partial,True,0,0.55,2.65,2.65,strong,,0.722,1.94,4.009,0.001247,,0.411,0,51.71,False,,,,,False,11,bullish,counter_trend,True,False,True,bearish,1.0872,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,True,SW,1.08106,0.457,19.333,3.376,1,False,0.85,,,"pd,pw,eq,sw",True,0.457,19.333,3.376,False,True,-0.329,bare,False,,False,break,asia,high,True,2020-02-25T10:00:00+00:00,2,2020-02-24T14:00:00+00:00,LONG,,aligned,32.6,False,3,fresh,NY,London,True,False,never_filled,0.778,,,0.5413,1.08634,1.07775,premium,mixed,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6546,EURUSD,2020-02-25T11:00:00+00:00,2020-02-25T15:00:00+00:00,2020-02-25T16:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.08479,1.08499,1.08679,1.08699,1.08238,1.08218,,,1.56,,1.08069,2.5,zone,,,1.08096,2.35,,,,False,triple,sl,1.08699,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,1.378,14.952,,False,2.406,2.187,2.855,1,-1,-1,7.0,5.0,3,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2020-02-25T08:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.72,1.32,0.88,marginal,False,1.75,,1.652,0.000914,0.001232,0.631,0,51.71,False,,,,,False,11,bullish,ambiguous,False,False,True,bearish,1.08348,False,False,False,INSIDE,intact,intact,swept,intact,2.636,4.703,PD,PD,False,5.0,PW,2.144,2.0,7.12,2.0,False,-0.262,False,0.0,high,2.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,0.23,bare,False,,False,sweep,london,high,True,2020-02-25T10:00:00+00:00,1,2020-02-25T10:00:00+00:00,SHORT,,aligned,64.1,False,0,no_fvg,London,NY,True,True,Both,1.0,,,0.8196,1.08634,1.07775,premium,both_premium,-0.098,0.232,0.738,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,CB Consumer Confidence,USD,1.0,CB Consumer Confidence
B6547,EURUSD,2020-02-25T18:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.08478,1.08458,1.08299,1.08279,1.08597,1.08617,,,1.0,,1.08597,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.41,1.268,0.985,0,-1,-1,,,4,discount,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2020-02-25T14:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.16,0.98,0.98,marginal,,0.985,1.169,2.607,0.001411,,0.367,0,50.427,False,,,,,False,18,bullish,with_trend,True,False,False,,1.08826,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,0.149,EQ,False,,False,break,london,high,True,2020-02-25T17:00:00+00:00,1,2020-02-25T16:00:00+00:00,LONG,,aligned,33.8,False,1,fresh,NY,NY,True,False,never_filled,1.0,A First Pullback,premium,0.8184,1.08634,1.07775,premium,mixed,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6548,EURUSD,2020-02-26T09:00:00+00:00,2020-02-26T10:00:00+00:00,2020-02-26T11:00:00+00:00,London,bullish,BOS BOS,proximal,1.08776,1.08756,1.08633,1.08613,1.08859,1.08879,,,1.0,,1.08859,1.0,wick,,,,,,,,False,triple,tp1,1.08859,0.509,1.0,0.0,127.25,True,,0.509,-0.0,1.0,,,,,,,1.66,1.456,1.049,1,1,-1,3.0,2.0,2,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2020-02-26T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.17,2.19,2.19,solid,,1.049,,2.24,0.000982,0.00099,0.34,0,45.634,False,,,,,False,9,bullish,with_trend,False,False,False,,1.08976,False,True,False,SWEPT_HIGH,swept,intact,broken,intact,,4.847,,PD,False,0.0,PD,,,9.652,2.0,False,7.993,False,5.0,high,0.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,0.112,bare,False,,False,sweep,asia,high,True,2020-02-26T08:00:00+00:00,1,2020-02-26T08:00:00+00:00,LONG,,counter,70.4,False,2,no_fvg,London,London,True,False,OB only,,,,1.1653,1.08634,1.07775,premium,both_premium,-1.487,0.389,0.591,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6549,EURUSD,2020-02-26T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.08478,1.08458,1.08299,1.08279,1.08597,1.08617,,,1.0,,1.08597,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.41,1.369,1.063,0,-1,-1,,,23,discount,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2020-02-25T14:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.16,0.98,0.98,marginal,,0.985,1.169,3.139,0.001411,,0.367,0,51.823,False,,,,,False,13,bullish,with_trend,True,False,False,,1.08901,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,0.149,EQ,False,,False,break,london,high,True,2020-02-26T12:00:00+00:00,2,2020-02-25T16:00:00+00:00,LONG,,aligned,33.8,False,1,fresh,NY,NY,True,False,never_filled,0.8,A First Pullback,premium,0.8184,1.08634,1.07775,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6550,EURUSD,2020-02-26T14:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.0824,1.0822,1.0811,1.0809,1.0831,1.0833,,,1.0,,1.0831,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.203,0.918,0.635,0,-1,-1,,,49,discount,0.0,,8.0,3.0,1.0,1.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2020-02-24T13:00:00+00:00,BOS,BOS,0,holding,True,partial,True,0,0.55,2.65,2.65,strong,,0.722,1.94,4.009,0.001247,,0.411,0,49.613,False,,,,,False,14,bullish,with_trend,True,False,False,,1.0872,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,True,SW,1.08106,0.457,19.333,3.376,1,False,0.85,,,"pd,pw,eq,sw",True,0.457,19.333,3.376,False,True,-0.329,bare,False,,False,break,asia,high,True,2020-02-26T13:00:00+00:00,3,2020-02-24T14:00:00+00:00,LONG,,aligned,32.6,False,3,fresh,NY,NY,True,False,never_filled,0.778,,,0.5413,1.08634,1.07775,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
