feature,split,bucket,edge_lo,edge_hi,n,expR,ci_lo,ci_hi,ci_excludes_0,wr_pct,totR,pos_quarters,level
fvg_present,DISCOVERY,,,,4439,-0.0445,-0.083,-0.006,True,33.3,-197.73,11/36,True
fvg_mitigation,DISCOVERY,,,,1496,-0.0927,-0.154,-0.03,True,32.6,-138.66,10/34,full
fvg_mitigation,DISCOVERY,,,,5394,-0.0554,-0.087,-0.023,True,36.3,-298.74,13/36,none
fvg_mitigation,DISCOVERY,,,,1295,-0.0152,-0.085,0.057,False,34.5,-19.68,12/25,partial
fvg_mitigation,DISCOVERY,,,,3144,-0.0566,-0.103,-0.011,True,32.8,-178.06,11/36,pristine
fvg_state,DISCOVERY,,,,5241,-0.0519,-0.087,-0.017,True,33.3,-272.0,14/36,fresh
fvg_state,DISCOVERY,,,,5394,-0.0554,-0.087,-0.023,True,36.3,-298.74,13/36,no_fvg
fvg_state,DISCOVERY,,,,694,-0.0928,-0.183,-0.0,False,31.9,-64.4,0/0,stale
pd_zone,DISCOVERY,,,,5399,-0.0427,-0.076,-0.008,True,35.1,-230.49,10/36,discount
pd_zone,DISCOVERY,,,,5930,-0.0682,-0.099,-0.037,True,34.2,-404.64,10/36,premium
pd_alignment,DISCOVERY,,,,5456,-0.0448,-0.079,-0.011,True,33.9,-244.26,9/36,aligned
pd_alignment,DISCOVERY,,,,5873,-0.0666,-0.098,-0.034,True,35.3,-390.87,10/36,counter
session,DISCOVERY,,,,2047,-0.079,-0.134,-0.024,True,32.9,-161.69,9/36,Asia
session,DISCOVERY,,,,5091,-0.0669,-0.101,-0.032,True,33.9,-340.35,9/36,London
session,DISCOVERY,,,,4191,-0.0318,-0.069,0.006,False,36.4,-133.09,15/36,NY
ob_session,DISCOVERY,,,,4564,-0.0586,-0.096,-0.021,True,33.4,-267.39,11/36,Asia
ob_session,DISCOVERY,,,,4620,-0.0467,-0.081,-0.012,True,35.9,-215.58,14/36,London
ob_session,DISCOVERY,,,,1497,-0.0801,-0.139,-0.02,True,35.5,-119.94,10/34,NY
ob_session,DISCOVERY,,,,648,-0.0497,-0.154,0.058,False,32.4,-32.22,1/1,Other
fill_session,DISCOVERY,,,,1782,0.0031,-0.056,0.063,False,36.4,5.55,18/36,Asia
fill_session,DISCOVERY,,,,4502,-0.0439,-0.081,-0.006,True,34.5,-197.64,11/36,London
fill_session,DISCOVERY,,,,4578,-0.0817,-0.116,-0.047,True,34.6,-374.23,8/36,NY
fill_session,DISCOVERY,,,,467,-0.1474,-0.253,-0.037,True,30.0,-68.82,0/0,Other
killzone_alignment,DISCOVERY,,,,2626,-0.0563,-0.101,-0.011,True,36.3,-147.95,10/36,Both
killzone_alignment,DISCOVERY,,,,4047,-0.0849,-0.124,-0.046,True,32.9,-343.39,6/36,Fill only
killzone_alignment,DISCOVERY,,,,2580,-0.0239,-0.075,0.027,False,34.6,-61.79,16/36,Neither
killzone_alignment,DISCOVERY,,,,2076,-0.0395,-0.094,0.014,False,36.2,-82.01,17/36,OB only
ob_in_killzone,DISCOVERY,,,,6627,-0.0611,-0.092,-0.031,True,33.5,-405.18,8/36,False
ob_in_killzone,DISCOVERY,,,,4702,-0.0489,-0.084,-0.014,True,36.2,-229.96,14/36,True
fill_in_killzone,DISCOVERY,,,,4656,-0.0309,-0.067,0.005,False,35.3,-143.8,13/36,False
fill_in_killzone,DISCOVERY,,,,6673,-0.0736,-0.103,-0.044,True,34.2,-491.34,8/36,True
trend_alignment,DISCOVERY,,,,2645,-0.0827,-0.131,-0.035,True,32.6,-218.69,10/36,ambiguous
trend_alignment,DISCOVERY,,,,930,0.0171,-0.073,0.106,False,34.4,15.92,4/7,counter_trend
trend_alignment,DISCOVERY,,,,7754,-0.0558,-0.083,-0.029,True,35.4,-432.36,8/36,with_trend
setup_badge,DISCOVERY,,,,471,-0.0438,-0.155,0.069,False,33.8,-20.64,0/0,A First Pullback
setup_badge,DISCOVERY,,,,438,-0.1289,-0.236,-0.019,True,35.4,-56.44,0/0,Caution: Late-Trend Chase
setup_badge,DISCOVERY,,,,10420,-0.0536,-0.077,-0.029,True,34.7,-558.06,11/36,other
ob_touches,DISCOVERY,,,,8710,-0.0633,-0.089,-0.037,True,34.3,-551.15,12/36,0
ob_touches,DISCOVERY,,,,2189,-0.0189,-0.072,0.034,False,36.7,-41.44,15/36,1
ob_touches,DISCOVERY,,,,430,-0.0989,-0.214,0.026,False,32.1,-42.55,0/0,2
bias,DISCOVERY,,,,5652,-0.0581,-0.091,-0.026,True,34.6,-328.23,8/36,LONG
bias,DISCOVERY,,,,5677,-0.0541,-0.087,-0.021,True,34.7,-306.91,12/36,SHORT
pair,DISCOVERY,,,,1017,-0.0437,-0.121,0.034,False,35.1,-44.43,2/10,AUDUSD
pair,DISCOVERY,,,,1150,-0.0618,-0.135,0.01,False,33.9,-71.03,10/24,EURJPY
pair,DISCOVERY,,,,1433,-0.0722,-0.135,-0.007,True,34.2,-103.39,15/34,EURUSD
pair,DISCOVERY,,,,1450,-0.0697,-0.133,-0.005,True,33.3,-101.05,9/36,GBPUSD
pair,DISCOVERY,,,,1370,-0.0497,-0.119,0.019,False,32.6,-68.12,11/33,GOLD
pair,DISCOVERY,,,,990,-0.1,-0.166,-0.033,True,37.2,-98.96,4/15,NZDUSD
pair,DISCOVERY,,,,1442,-0.0034,-0.069,0.063,False,36.7,-4.95,18/34,USDCAD
pair,DISCOVERY,,,,1344,-0.0519,-0.118,0.016,False,35.1,-69.74,9/31,USDCHF
pair,DISCOVERY,,,,1133,-0.0648,-0.138,0.01,False,34.5,-73.46,9/25,USDJPY
ob_walkback_depth,DISCOVERY,,,,7802,-0.0439,-0.071,-0.015,True,35.5,-342.43,12/36,0
ob_walkback_depth,DISCOVERY,,,,2422,-0.0678,-0.117,-0.018,True,33.8,-164.22,11/36,1
ob_walkback_depth,DISCOVERY,,,,748,-0.1162,-0.202,-0.025,True,30.8,-86.93,0/0,2
ob_walkback_depth,DISCOVERY,,,,239,-0.2379,-0.379,-0.088,True,26.0,-56.85,0/0,3
ob_walkback_depth,DISCOVERY,,,,118,0.1297,-0.129,0.416,False,36.2,15.3,0/0,other
structure_ranging_at_alert,DISCOVERY,,,,10616,-0.0586,-0.083,-0.035,True,34.7,-622.52,8/36,False
structure_ranging_at_alert,DISCOVERY,,,,713,-0.0177,-0.116,0.081,False,34.4,-12.61,1/2,True
flip_pending_at_alert,DISCOVERY,,,,8201,-0.0529,-0.079,-0.026,True,35.3,-433.76,8/36,False
flip_pending_at_alert,DISCOVERY,,,,3128,-0.0644,-0.108,-0.02,True,33.0,-201.37,10/36,True
flip_pending_dir_at_alert,DISCOVERY,,,,1601,-0.0569,-0.121,0.009,False,33.1,-91.13,15/36,bearish
flip_pending_dir_at_alert,DISCOVERY,,,,1527,-0.0722,-0.135,-0.01,True,32.8,-110.24,12/34,bullish
flip_pending_dir_at_alert,DISCOVERY,,,,8201,-0.0529,-0.079,-0.026,True,35.3,-433.76,8/36,other
dr_ceiling_broken_at_ob,DISCOVERY,,,,8757,-0.0573,-0.083,-0.031,True,34.3,-502.04,10/36,False
dr_ceiling_broken_at_ob,DISCOVERY,,,,2456,-0.052,-0.101,-0.002,True,35.7,-127.82,13/36,True
dr_ceiling_broken_at_ob,DISCOVERY,,,,116,-0.0455,-0.255,0.176,False,36.8,-5.28,0/0,other
dr_floor_broken_at_ob,DISCOVERY,,,,8863,-0.0553,-0.081,-0.03,True,34.4,-489.75,5/36,False
dr_floor_broken_at_ob,DISCOVERY,,,,2350,-0.0596,-0.111,-0.009,True,35.3,-140.11,10/36,True
dr_floor_broken_at_ob,DISCOVERY,,,,116,-0.0455,-0.255,0.176,False,36.8,-5.28,0/0,other
