setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A1431,USDCHF,2025-03-25T08:00:00+00:00,2025-03-25T10:00:00+00:00,2025-03-25T10:00:00+00:00,London,bullish,BOS BOS,proximal,0.88329,0.88243,0.8822300000000001,0.8846,,1.52,,sl,0.8822300000000001,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,6.0,3.0,4,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-25T04:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.62,1.51,1.51,solid,0.9,0.532,1.895,0.000734,False,,,,,False,8,bullish,with_trend,2025-03-25T07:00:00+00:00,1,2025-03-25T07:00:00+00:00,LONG,counter,67.4,False,3,fresh,Asia,London,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1432,USDCHF,2025-03-25T16:00:00+00:00,2025-03-26T01:00:00+00:00,2025-03-27T15:00:00+00:00,NY,bearish,BOS BOS,proximal,0.88343,0.8851,0.8853,0.88091,,1.51,,tp1,0.88091,1.348,1.51,0.647,337.0,True,,1.652,-0.882,,,38,38,-1,18.0,15.0,9,premium,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-03-25T07:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.51,1.47,1.47,marginal,1.408,0.919,0.833,0.001044,False,,,,,False,16,bearish,with_trend,2025-03-25T15:00:00+00:00,1,2025-03-25T10:00:00+00:00,SHORT,aligned,70.2,False,1,fresh,London,Asia,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1433,GOLD,2025-03-03T07:00:00+00:00,2025-03-03T09:00:00+00:00,2025-03-03T14:00:00+00:00,London,bearish,BOS BOS,proximal,2871.3,2878.38,2878.385,2859.97,,1.6,,sl,2878.385,-1.0,-1.0,-1.0,-250.0,True,,0.991,-0.896,True,False,5,-1,-1,84.0,29.0,32,premium,0.0,,3.5,3.0,0.0,0.0,0.5,0.0,"structure,freshness",False,h1_only,2025-02-27T21:00:00+00:00,BOS,BOS,holding,False,full,False,1,0.74,1.02,1.02,marginal,0.876,,2.186,7.515,False,,,,,False,7,bearish,with_trend,2025-03-03T06:00:00+00:00,1,2025-02-28T03:00:00+00:00,SHORT,aligned,87.4,False,2,fresh,Other,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1434,GOLD,2025-03-03T16:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,2876.25,2868.22,2868.2149999999997,2895.86,2904.07,2.44,3.46,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,3,premium,0.0,False,4.5,3.0,0.0,0.0,0.5,1.0,"structure,freshness",False,h1_only,2025-03-03T13:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,1,1.61,1.68,1.12,marginal,1.034,,1.449,7.280714,False,,,,,False,16,bearish,against_trend,2025-03-03T15:00:00+00:00,1,2025-03-03T14:00:00+00:00,LONG,counter,75.5,False,0,no_fvg,NY,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1435,GOLD,2025-03-04T08:00:00+00:00,,,London,bullish,Confirmation BOS,proximal,2889.96,2883.79,2883.785,2904.07,,2.29,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,2,premium,0.0,,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-03-04T06:00:00+00:00,BOS,Confirm,holding,False,none,False,0,0.93,1.7,1.7,solid,0.769,,5.25,7.372857,False,,,,,False,8,bullish,with_trend,2025-03-04T07:00:00+00:00,1,2025-03-04T07:00:00+00:00,LONG,counter,83.7,False,1,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1436,GOLD,2025-03-04T09:00:00+00:00,2025-03-04T13:00:00+00:00,2025-03-04T14:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,2926.24,2938.48,2938.485,2906.95,,1.58,,tp1,2906.95,1.575,1.58,0.0,393.75,True,,1.874,-0.124,,,1,1,-1,168.0,113.0,111,premium,1.0,True,6.5,4.0,0.0,1.0,0.5,1.0,"structure,fvg,freshness",False,h1_only,2025-02-25T13:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,1,3.52,3.25,2.16,solid,1.415,3.042,1.174,8.296429,False,,,,,False,9,bearish,with_trend,2025-03-04T08:00:00+00:00,1,2025-02-25T15:00:00+00:00,SHORT,aligned,154.8,False,0,fresh,NY,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1437,GOLD,2025-03-04T13:00:00+00:00,2025-03-05T13:00:00+00:00,2025-03-05T14:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,2894.45,2887.96,2887.955,2905.24,,1.66,,tp1,2905.24,1.661,1.66,0.0,415.25,True,,3.495,-0.023,,,1,1,-1,32.0,30.0,8,premium,0.0,False,5.5,3.0,0.0,2.0,0.5,0.0,"structure,fvg,freshness",False,h1_only,2025-03-04T05:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,1,2.73,1.54,1.02,marginal,0.732,0.832,1.29,8.180714,False,,,,,False,13,bearish,against_trend,2025-03-04T12:00:00+00:00,1,2025-03-04T06:00:00+00:00,LONG,counter,66.6,False,0,fresh,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1438,GOLD,2025-03-06T07:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,2937.11,2940.96,2940.965,2930.78,,1.64,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,157,premium,1.0,True,4.5,4.0,0.0,0.0,0.5,0.0,"structure,freshness",False,h1_only,2025-02-25T11:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,1,1.01,1.6,1.07,marginal,0.53,,1.54,6.323571,False,,,,,False,7,bullish,against_trend,2025-03-06T06:00:00+00:00,1,2025-02-25T12:00:00+00:00,SHORT,aligned,132.9,False,0,no_fvg,London,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1439,GOLD,2025-03-06T10:00:00+00:00,2025-03-06T15:00:00+00:00,2025-03-06T17:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,2919.81,2923.56,2923.565,2909.56,2906.95,2.73,3.43,sl,2919.81,0.0,2.73,3.43,0.0,True,,2.874,-0.762,True,True,2,5,8,9.0,7.0,4,premium,1.0,True,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-06T06:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,1.74,1.6,1.07,marginal,0.505,1.313,1.501,6.43,False,,,,,False,10,bullish,against_trend,2025-03-06T09:00:00+00:00,1,2025-03-06T08:00:00+00:00,SHORT,aligned,81.0,False,0,fresh,Asia,NY,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1440,GOLD,2025-03-10T14:00:00+00:00,2025-03-10T15:00:00+00:00,2025-03-10T16:00:00+00:00,NY,bearish,Range BOS,proximal,2909.24,2915.04,2915.045,2900.34,,1.53,,tp1,2900.34,1.533,1.53,0.0,383.25,True,,2.301,-0.22,,,1,1,-1,9.0,7.0,8,discount,0.0,,5.5,4.0,0.0,0.0,0.5,1.0,"structure,freshness",False,h1_only,2025-03-10T06:00:00+00:00,BOS,Range,holding,False,none,False,1,0.5,1.61,1.61,solid,0.63,,1.929,8.406429,False,,,,,False,14,bearish,with_trend,2025-03-10T13:00:00+00:00,1,2025-03-10T08:00:00+00:00,SHORT,counter,44.6,False,1,no_fvg,Asia,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
