pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,bias,killzone_blocked,killzone_windows
USDJPY,2026-03-06T02:00:00+00:00,2026-03-06T02:00:00+00:00,2026-03-06T11:00:00+00:00,Asia,bullish,Minor BOS,50pct,157.467,157.349,157.9,157.93,3.669,3.924,tp2,157.93,3.924,3.669,3.924,981.0,4.441,-0.237,9,9,9,2,discount,4.5,1.5,1.5,0.0,1.5,0.0,"structure,sweep,freshness",False,h1_only,2026-03-06T00:00:00+00:00,BOS,Minor,False,True,False,,,,,True,2,LONG,False,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-06T07:00:00+00:00,2026-03-06T08:00:00+00:00,2026-03-06T09:00:00+00:00,London,bullish,Major BOS,proximal,157.512,157.438,157.655,157.753,1.93,3.26,tp2,157.753,3.257,1.93,3.26,814.25,5.122,-0.243,1,0,1,4,discount,6.6,2.5,1.5,0.6,1.5,0.5,"structure,sweep,fvg,freshness,killzone",False,h1_only,2026-03-06T03:00:00+00:00,BOS,Major,True,True,False,,,,,False,7,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-06T07:00:00+00:00,2026-03-06T13:00:00+00:00,2026-03-06T13:00:00+00:00,London,bullish,Major BOS,50pct,157.485,157.438,157.655,157.753,3.617,5.702,sl_collision,157.438,-1.0,3.617,5.702,-250.0,11.021,-2.83,0,0,0,4,discount,6.6,2.5,1.5,0.6,1.5,0.5,"structure,sweep,fvg,freshness,killzone",True,h1_only,2026-03-06T03:00:00+00:00,BOS,Major,True,True,False,,,,,False,7,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-09T00:00:00+00:00,2026-03-09T19:00:00+00:00,2026-03-09T19:00:00+00:00,Asia,bullish,Major BOS,proximal,157.91,157.739,158.392,158.415,2.82,2.95,sl_collision,157.739,-1.0,2.82,-1.0,-250.0,2.953,-1.62,0,0,-1,1,discount,6.5,2.5,2.5,0.0,1.5,0.0,"structure,sweep,freshness",True,h1_only,2026-03-06T21:00:00+00:00,BOS,Major,False,True,False,,,,,True,0,LONG,False,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-09T00:00:00+00:00,2026-03-09T19:00:00+00:00,2026-03-09T19:00:00+00:00,Asia,bullish,Major BOS,50pct,157.835,157.739,158.392,158.415,5.802,6.042,sl_collision,157.739,-1.0,5.802,-1.0,-250.0,6.042,-2.104,0,0,-1,1,discount,6.5,2.5,2.5,0.0,1.5,0.0,"structure,sweep,freshness",True,h1_only,2026-03-06T21:00:00+00:00,BOS,Major,False,True,False,,,,,True,0,LONG,False,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-11T04:00:00+00:00,2026-03-11T04:00:00+00:00,2026-03-11T04:00:00+00:00,Asia,bullish,Minor BOS,proximal,158.306,158.142,158.794,158.835,2.98,3.23,sl,158.142,-1.0,-1.0,-1.0,-250.0,0.0,-1.317,0,-1,-1,1,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-11T03:00:00+00:00,BOS,Minor,False,False,False,,,,,False,4,LONG,False,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-11T04:00:00+00:00,2026-03-11T04:00:00+00:00,2026-03-11T04:00:00+00:00,Asia,bullish,Minor BOS,50pct,158.234,158.142,158.794,158.835,6.087,6.533,sl,158.142,-1.0,-1.0,-1.0,-250.0,0.228,-1.565,0,-1,-1,1,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-11T03:00:00+00:00,BOS,Minor,False,False,False,,,,,False,4,LONG,False,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-11T11:00:00+00:00,2026-03-11T11:00:00+00:00,2026-03-11T17:00:00+00:00,London,bullish,Major BOS,proximal,158.486,158.223,158.898,158.954,1.57,1.78,tp2,158.954,1.779,1.57,1.78,444.75,1.867,-0.939,6,6,6,1,discount,4.5,1.0,1.5,0.0,1.5,0.5,"structure,sweep,freshness,killzone",False,h1_only,2026-03-11T10:00:00+00:00,BOS,Major,False,True,False,,,,,False,11,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-11T11:00:00+00:00,2026-03-11T11:00:00+00:00,2026-03-11T17:00:00+00:00,London,bullish,Major BOS,50pct,158.364,158.223,158.898,158.954,3.787,4.184,tp2,158.954,4.184,3.787,4.184,1046.0,4.348,-0.887,6,6,6,1,discount,4.5,1.0,1.5,0.0,1.5,0.5,"structure,sweep,freshness,killzone",False,h1_only,2026-03-11T10:00:00+00:00,BOS,Major,False,True,False,,,,,False,11,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-18T12:00:00+00:00,2026-03-18T12:00:00+00:00,2026-03-18T12:00:00+00:00,London,bullish,Minor BOS,proximal,159.049,158.868,159.355,159.386,1.69,1.86,tp2,159.386,1.862,1.69,1.86,465.5,2.343,-0.547,0,0,0,3,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-18T09:00:00+00:00,BOS,Minor,False,False,False,,,,,False,12,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
