setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_was_swept,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A1345,GOLD,2025-01-16T17:00:00+00:00,2025-01-17T09:00:00+00:00,2025-01-17T18:00:00+00:00,NY,bullish,BOS BOS,proximal,2707.35,2699.77,2699.765,2720.3,,1.71,,friday_flat,2712.66,0.7,-1.0,-1.0,175.0,True,,1.31,-0.614,,9,-1,-1,21.0,19.0,5,premium,0.0,,6.0,3.0,0.0,1.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2025-01-16T12:00:00+00:00,BOS,BOS,holding,True,partial,False,0,2.11,1.88,1.88,solid,1.144,0.905,1.958,6.190714,False,,,,,False,17,bullish,with_trend,2025-01-16T16:00:00+00:00,1,2025-01-16T13:00:00+00:00,LONG,counter,75.9,False,5,fresh,London,London,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1346,GOLD,2025-01-17T10:00:00+00:00,2025-01-17T12:00:00+00:00,2025-01-17T14:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,2709.54,2713.47,2713.475,2690.03,,4.96,,sl,2709.54,0.0,-1.0,-1.0,0.0,True,,1.283,-0.656,True,2,-1,-1,4.0,3.0,2,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-17T08:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,1.4,1.86,1.24,marginal,0.935,,1.35,3.667143,False,,,,,False,10,bullish,against_trend,2025-01-17T09:00:00+00:00,1,2025-01-17T09:00:00+00:00,SHORT,aligned,76.5,False,0,no_fvg,London,London,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1347,GOLD,2025-01-21T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,2724.12,2716.7,2716.6949999999997,2738.48,,1.94,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,0,-1,-1,,,6,premium,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-21T09:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.69,1.52,1.52,solid,0.9,,4.072,7.690714,False,,,,,False,15,bullish,with_trend,2025-01-21T14:00:00+00:00,1,2025-01-21T14:00:00+00:00,LONG,counter,70.8,False,8,no_fvg,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1348,GOLD,2025-01-22T06:00:00+00:00,2025-01-22T06:00:00+00:00,2025-01-22T09:00:00+00:00,Asia,bullish,BOS BOS,proximal,2745.61,2740.6,2740.595,2758.68,,2.61,,tp1,2758.68,2.606,2.61,0.0,651.5,True,,3.316,-0.004,,3,3,-1,7.0,2.0,7,premium,0.0,,5.0,3.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-21T23:00:00+00:00,BOS,BOS,holding,True,partial,False,0,1.24,1.17,1.17,marginal,0.91,0.214,5.969,4.957143,False,,,,,False,6,bullish,with_trend,2025-01-22T05:00:00+00:00,1,2025-01-22T04:00:00+00:00,LONG,counter,81.2,False,3,fresh,Other,Asia,False,False,Neither,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1349,GOLD,2025-01-23T10:00:00+00:00,,,London,bullish,Confirmation BOS,proximal,2729.48,2723.21,2723.205,2746.02,2755.59,2.64,4.16,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,0,-1,-1,,,50,discount,0.0,,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-21T06:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,1.55,3.44,3.44,strong,1.694,1.295,8.239,3.405714,False,,,,,False,10,bullish,with_trend,2025-01-23T09:00:00+00:00,1,2025-01-21T14:00:00+00:00,LONG,aligned,-143.7,False,1,fresh,Asia,London,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1350,GOLD,2025-01-23T10:00:00+00:00,2025-01-23T10:00:00+00:00,2025-01-23T16:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,2751.23,2756.09,2756.0950000000003,2716.43,,7.16,,sl,2751.23,0.0,-1.0,-1.0,0.0,True,,3.217,-0.662,False,6,-1,-1,4.0,1.0,4,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-01-23T06:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,1.11,1.75,1.17,marginal,1.101,,2.018,3.958571,False,,,,,False,10,bullish,against_trend,2025-01-23T09:00:00+00:00,1,2025-01-23T09:00:00+00:00,SHORT,counter,45.9,False,0,no_fvg,Asia,London,False,False,Neither,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1351,GOLD,2025-01-29T09:00:00+00:00,2025-01-29T09:00:00+00:00,2025-01-29T10:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,2762.08,2758.63,2758.625,2771.88,,2.84,,sl,2758.625,-1.0,-1.0,-1.0,-250.0,True,,0.625,-0.524,True,1,-1,-1,3.0,2.0,3,premium,1.0,True,5.9,4.0,1.44,0.0,0.5,0.0,"structure,sweep,freshness",False,h1_only,2025-01-29T06:00:00+00:00,CHoCH,CHoCH,holding,False,none,True,1,4.64,1.5,1.0,marginal,0.957,,1.197,3.083571,False,,,,,False,9,bearish,against_trend,2025-01-29T08:00:00+00:00,1,2025-01-29T07:00:00+00:00,LONG,counter,86.9,False,0,no_fvg,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1352,GOLD,2025-01-30T07:00:00+00:00,,,London,bullish,BOS BOS,proximal,2763.45,2759.37,2759.365,2771.88,,2.07,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,0,-1,-1,,,3,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-01-30T04:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.62,1.03,1.03,marginal,0.73,,3.625,4.907143,False,,,,,False,7,bullish,with_trend,2025-01-30T06:00:00+00:00,1,2025-01-30T06:00:00+00:00,LONG,counter,87.2,False,1,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1353,GOLD,2025-01-31T13:00:00+00:00,2025-01-31T18:00:00+00:00,2025-01-31T19:00:00+00:00,NY,bullish,BOS BOS,proximal,2799.3,2791.19,2791.185,2807.73,,1.04,,friday_flat,2799.01,-0.036,-1.0,-1.0,-9.0,True,,1.184,-0.492,,1,-1,-1,10.0,6.0,5,premium,0.0,,7.0,3.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2025-01-31T08:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.95,1.16,1.16,marginal,1.575,0.942,11.67,4.832143,False,,,,,False,13,bullish,with_trend,2025-01-31T12:00:00+00:00,1,2025-01-31T12:00:00+00:00,LONG,counter,86.6,False,2,fresh,London,NY,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1354,GOLD,2025-02-03T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,2778.26,2771.67,2771.665,2798.32,,3.04,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,0,-1,-1,,,10,discount,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-03T03:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.53,1.02,1.02,marginal,0.684,0.196,1.66,8.9,False,,,,,False,13,bullish,with_trend,2025-02-03T12:00:00+00:00,1,2025-02-03T12:00:00+00:00,LONG,aligned,13.5,False,9,fresh,Asia,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
